Buffer,Rate
8,3.083371091
10,3.597075863
12,4.210393954
14,4.689184044
16,5.120605926
20,6.087989794
22,6.263128176
24,7.255805421
26,7.753999951
28,8.236720174
30,8.880553082
32,9.447665153
34,9.99989334
36,10.28230034
38,10.94150323
40,11.54060039
42,12.26388723
44,12.81082662
46,13.27179882
48,13.70802634
50,14.24788688
52,14.52693208
54,15.75997619
56,16.46882816
58,16.9147238
60,17.35847725
62,18.06436537
64,18.47657126
66,19.2548745
68,19.97284132
70,20.69776165
72,20.99153922
74,21.65552954
76,21.5916718
78,22.65370901
80,23.58690886
82,24.31428909
84,24.15542763
86,25.20695513
88,25.8799758
90,27.09315161
92,27.13862022
94,27.83564758
96,28.5785103
98,29.22677107
100,29.89117477
102,31.22100471
104,31.24649119
106,32.03751882
108,31.53365684
110,32.05199948
112,32.48950194
114,33.18909355
116,34.35507721
118,34.29499549
120,33.98307912
122,34.3220699
124,33.35016381
126,34.11300317
128,34.55046619
