insertions	fragwobtree
0	6.818172653
5242880	3.663700554
10485760	4.406154158
15728640	1.703731317
20971520	4.59924325
26214400	1.895119432
31457280	1.956547231
36700160	1.81077033
41943040	4.17117231
47185920	1.508590407
52428800	4.138049204
57671680	1.444268818
62914560	2.566109797
68157440	1.788496191
73400320	1.446969074
78643200	2.142794641
83886080	4.846142522
89128960	1.464638453
94371840	1.599017345
99614720	2.275242399
104857600	2.954319423
110100480	1.637139587
115343360	2.22317816
120586240	1.233448059
125829120	2.529906743
131072000	2.180514609
136314880	1.60152139
141557760	2.038349473
146800640	1.605486429
152043520	2.602872451
157286400	1.1931938
162529280	1.155396881
167772160	2.543723975
173015040	1.436363599
178257920	2.25225005
183500800	1.430549475
188743680	5.315554479
193986560	1.200423965
199229440	1.397366782
204472320	3.391292324
209715200	1.442723393
214958080	2.322815768
220200960	2.024098415
225443840	4.500553329
230686720	1.220678026
235929600	1.554723671
241172480	1.307277964
246415360	1.379829912
251658240	1.12386756
256901120	1.807975099
262144000	1.170285433
267386880	1.244104519
272629760	2.24677418
277872640	0.773525441
283115520	1.476375614
288358400	3.386174698
293601280	1.961214825
298844160	1.933982379
304087040	2.375259049
309329920	1.669880286
314572800	2.393245621
319815680	2.381319293
325058560	1.373599903
330301440	1.670115866
335544320	1.276750816
340787200	2.378399696
346030080	4.459196447
351272960	1.280550402
356515840	2.477980277
361758720	1.985059516
367001600	0.73630275
372244480	3.234467458
377487360	1.657370648
382730240	1.223580388
387973120	1.002858934
393216000	0.79612043
398458880	1.300578199
403701760	1.889325177
408944640	5.129181455
414187520	1.171007868
419430400	1.019448015
424673280	3.013208138
429916160	0.695878108
435159040	2.119603893
440401920	2.148468379
445644800	1.74455824
450887680	4.222878642
456130560	11.78340823
461373440	4.072419925
466616320	0.996707306
471859200	3.11960804
477102080	1.678874347
482344960	1.013912769
487587840	0.798058442
492830720	2.734860885
498073600	1.886225004
503316480	1.941877747
508559360	0.816264813
513802240	2.659155228
519045120	3.198406714
524288000	0.921937902
529530880	1.444580743
534773760	1.662679983
540016640	4.935364807
545259520	1.313275941
550502400	1.046487268
555745280	3.018432972
560988160	1.84309853
566231040	1.184497771
571473920	1.593962525
576716800	1.382016038
581959680	0.872080122
587202560	2.651397889
592445440	1.137632748
597688320	1.763462426
602931200	1.037389407
608174080	1.689400236
613416960	1.701329332
618659840	2.54449485
623902720	0.691652397
629145600	0.94174001
634388480	1.432063515
639631360	1.278158056
644874240	1.582374996
650117120	1.069201
655360000	1.529968554
660602880	1.241897021
665845760	2.414926803
671088640	1.043790719
676331520	0.808910599
681574400	1.395510909
686817280	1.084913726
692060160	0.960538175
697303040	1.502847252
702545920	1.023824251
707788800	2.085696539
713031680	1.631590002
718274560	0.89072419
723517440	2.076645306
728760320	2.932653031
734003200	2.426442344
739246080	0.968125169
744488960	1.220486734
749731840	3.596277153
754974720	1.049519494
760217600	2.547039881
765460480	0.669186145
770703360	1.435978812
775946240	1.544755777
781189120	1.729910881
786432000	2.054295588
791674880	1.641054092
796917760	1.123348227
802160640	1.324777915
807403520	2.438690676
812646400	0.961186421
817889280	1.393142823
823132160	1.757027849
828375040	1.559214918
833617920	1.3005266
838860800	1.032845781
844103680	2.446072468
849346560	1.257456165
854589440	0.677551546
859832320	1.205512368
865075200	1.614705763
870318080	1.614266781
875560960	1.814969489
880803840	1.020147645
886046720	0.736224222
891289600	1.416162981
896532480	2.400021477
901775360	1.417337563
907018240	1.726888073
912261120	1.999739585
917504000	1.145566571
922746880	1.386306242
927989760	0.932384637
933232640	1.439824761
938475520	2.064488977
943718400	1.854286457
948961280	1.06390349
954204160	1.51687126
959447040	1.436002092
964689920	1.046050319
969932800	1.010362762
975175680	1.998712262
980418560	1.089357075
985661440	2.370740255
990904320	0.901354968
996147200	1.176541508
1001390080	0.865397041
1006632960	1.192962229
1011875840	2.575680524
1017118720	0.983621213
1022361600	1.327284702
1027604480	1.488401981
1032847360	2.274468837
1038090240	1.956690877
1043333120	0.976681249
