insertions			 btree-inserts wobtree-inserts
1000000 58823.52941     250000
2000000 8928.571429     142857.1429
3000000 6849.315068     90909.09091
4000000 6250    90909.09091
5000000 5988.023952     76923.07692
6000000 5780.346821     76923.07692
7000000 5681.818182     76923.07692
8000000 5617.977528     76923.07692
9000000 5494.505495     76923.07692
10000000        5347.593583     71428.57143
11000000        5235.602094     71428.57143
12000000        5235.602094     71428.57143
13000000        5181.34715      71428.57143
14000000        5208.333333     71428.57143
15000000        5208.333333     71428.57143
16000000        5154.639175     66666.66667
17000000        5025.125628     66666.66667
18000000        4830.917874     66666.66667
19000000        4629.62963      62500
20000000        4444.444444     62500
21000000        4310.344828     66666.66667
22000000        4291.845494     62500
23000000        4273.504274     62500
24000000        4255.319149     62500
25000000        4255.319149     62500
26000000        4255.319149     62500
27000000        4255.319149     62500
28000000        4255.319149     62500
29000000        4201.680672     62500
30000000        4237.288136     62500
