fs, size.MB, time.s
BetrFS-0.1, 256, 5.119
BetrFS-0.1, 256, 4.993
BetrFS-0.1, 256, 4.710

BetrFS-0.1, 512, 29.735
BetrFS-0.1, 512, 28.581
BetrFS-0.1, 512, 29.880

BetrFS-0.1, 1024, 71.459
BetrFS-0.1, 1024, 68.292
BetrFS-0.1, 1024, 66.085

BetrFS-0.1, 2048, 139.237
BetrFS-0.1, 2048, 149.326
BetrFS-0.1, 2048, 147.576

BetrFS-0.1, 4096, 303.558
BetrFS-0.1, 4096, 307.108
BetrFS-0.1, 4096, 304.257

BetrFS-0.2, 256, 0.035
BetrFS-0.2, 256, 0.028
BetrFS-0.2, 256, 0.033
BetrFS-0.2, 256, 0.020

BetrFS-0.2, 512, 0.036
BetrFS-0.2, 512, 0.036
BetrFS-0.2, 512, 0.015
BetrFS-0.2, 512, 0.016

BetrFS-0.2, 1024, 0.019
BetrFS-0.2, 1024, 0.021
BetrFS-0.2, 1024, 0.002
BetrFS-0.2, 1024, 0.002

BetrFS-0.2, 2048, 0.018
BetrFS-0.2, 2048, 0.002
BetrFS-0.2, 2048, 0.002
BetrFS-0.2, 2048, 0.086

BetrFS-0.2, 4096, 0.002
BetrFS-0.2, 4096, 0.023
BetrFS-0.2, 4096, 0.022
BetrFS-0.2, 4096, 0.022

ext4, 256, 0.064
ext4, 256, 0.071
ext4, 256, 0.124
ext4, 256, 0.097
ext4, 256, 0.100
ext4, 256, 0.058

ext4, 512, 0.123
ext4, 512, 0.074
ext4, 512, 0.093
ext4, 512, 0.137
ext4, 512, 0.074
ext4, 512, 0.093

ext4, 1024, 0.110
ext4, 1024, 0.112
ext4, 1024, 0.107

ext4, 2048, 0.191
ext4, 2048, 0.190
ext4, 2048, 0.221
ext4, 2048, 0.365
ext4, 2048, 0.185
ext4, 2048, 0.181
ext4, 2048, 0.207

ext4, 4096, 0.325
ext4, 4096, 0.400
ext4, 4096, 0.384
ext4, 4096, 0.318
ext4, 4096, 0.336
ext4, 4096, 0.220
ext4, 4096, 0.379

xfs, 256, 0.050
xfs, 256, 0.057
xfs, 256, 0.055
xfs, 256, 0.080
xfs, 256, 0.086
xfs, 256, 0.081

xfs, 512, 0.061
xfs, 512, 0.068
xfs, 512, 0.056
xfs, 512, 0.092
xfs, 512, 0.082
xfs, 512, 0.116

xfs, 1024, 0.061
xfs, 1024, 0.070
xfs, 1024, 0.081
xfs, 1024, 0.086
xfs, 1024, 0.100
xfs, 1024, 0.083

xfs, 2048, 0.052
xfs, 2048, 0.061
xfs, 2048, 0.066
xfs, 2048, 0.093
xfs, 2048, 0.092
xfs, 2048, 0.088

xfs, 4096, 0.121
xfs, 4096, 0.116
xfs, 4096, 0.120
xfs, 4096, 0.083
xfs, 4096, 0.143
xfs, 4096, 0.089

zfs, 256, 0.043
zfs, 256, 0.022
zfs, 256, 0.066
zfs, 256, 0.027
zfs, 256, 0.028
zfs, 256, 0.026
zfs, 256, 0.030
zfs, 256, 0.063

zfs, 512, 0.098
zfs, 512, 0.112
zfs, 512, 0.069
zfs, 512, 0.068
zfs, 512, 0.051
zfs, 512, 0.191
zfs, 512, 0.012
zfs, 512, 0.043
zfs, 512, 0.180
zfs, 512, 0.054
zfs, 512, 0.060
zfs, 512, 0.019
zfs, 512, 0.043

zfs, 1024, 0.078
zfs, 1024, 0.073
zfs, 1024, 0.117
zfs, 1024, 0.079
zfs, 1024, 0.069
zfs, 1024, 0.112
zfs, 1024, 0.050
zfs, 1024, 0.047
zfs, 1024, 0.041

zfs, 2048, 0.261
zfs, 2048, 0.312
zfs, 2048, 0.347
zfs, 2048, 1.119
zfs, 2048, 1.842
zfs, 2048, 1.450
zfs, 2048, 1.385
zfs, 2048, 1.799
zfs, 2048, 0.260
zfs, 2048, 1.549
zfs, 2048, 0.235
zfs, 2048, 1.364
zfs, 2048, 1.084
zfs, 2048, 0.276
zfs, 2048, 1.656
zfs, 2048, 1.787

zfs, 4096, 6.597
zfs, 4096, 6.115
zfs, 4096, 6.145
zfs, 4096, 5.880
zfs, 4096, 6.155

btrfs, 256, 0.022
btrfs, 256, 0.022
btrfs, 256, 0.022

btrfs, 512, 0.022
btrfs, 512, 0.022
btrfs, 512, 0.052

btrfs, 1024, 0.022
btrfs, 1024, 0.044
btrfs, 1024, 0.024

btrfs, 2048, 0.022
btrfs, 2048, 0.022
btrfs, 2048, 0.152

btrfs, 4096, 0.044
btrfs, 4096, 0.022
btrfs, 4096, 0.022
