pulls_performed	filesystem_size	aged_time	aged_layout_score	clean_time	clean_layout_score
0	2962328	254.2533641		38541717073	nan
100	2943912	237.3567579		35839964465	nan
200	2944020	233.3815629		60026911993	nan
300	2943668	238.311923		57131960481	nan
400	2936396	233.2420311		24389874857	nan
500	2926432	291.9107218		49402203025	nan
600	2928060	109.255374		30839654729	nan
700	2928324	231.9901128		27817812001	nan
800	2930684	212.6453831		35173189665	nan
900	2932524	215.8810771		26451474361	nan
1000	2935892	209.38585		40509011729	nan
1100	2935612	212.4887719		82704268913	nan
1200	2937660	192.1509039		19965171465	nan
1300	2942392	201.101959		77611433481	nan
1400	2941756	186.7210629		28284485889	nan
1500	2946168	197.857677		33832613033	nan
1600	2949196	198.8298512		67885455529	nan
1700	2950856	189.441292		17867454777	nan
1800	2953700	193.1318219		35636581073	nan
1900	2952804	184.8709559		83875945689	nan
2000	2949704	179.392045		21401442073	nan
2100	2950832	164.1514511		23075018585	nan
2200	2953840	172.163846		26312164841	nan
2300	2956552	163.612067		55896279729	nan
2400	2957788	163.3571401		20203925113	nan
2500	2952532	163.6970382		20224600753	nan
2600	2953992	168.1642189		25690696185	nan
2700	2950452	170.089149		21053795473	nan
2800	2949448	167.2812219		29245904401	nan
2900	2948848	153.732585		32786104569	nan
3000	2950352	161.5671949		15486728113	nan
3100	2946604	159.8989661		20138872401	nan
3200	2946208	163.627671		31208014169	nan
3300	2945684	164.348145		69633698641	nan
3400	2946488	165.659332		60619446209	nan
3500	2947600	170.57248		41820662065	nan
3600	2953576	156.8544409		15797432633	nan
3700	2957180	153.806365		72730532089	nan
3800	2957744	149.931942		16759691793	nan
3900	2959324	147.159585		27492425481	nan
4000	2964464	149.438987		19972615353	nan
4100	2962188	143.6999168		25623613449	nan
4200	2962800	145.7720129		44994863305	nan
4300	2967016	150.675626		18879908641	nan
4400	2969580	140.139185		21450751585	nan
4500	2965864	134.8323541		18221388153	nan
4600	2962424	145.9060879		37293376217	nan
4700	2963696	145.6740818		17038581921	nan
4800	2961232	139.4808099		18469193633	nan
4900	2961540	134.9931121		48690511257	nan
5000	2966384	135.777318		39630305657	nan
5100	2964952	140.852375		13980499617	nan
5200	2963532	137.721843		13947671129	nan
5300	2961680	138.1088021		17411470689	nan
5400	2963944	129.7694299		31684613529	nan
5500	2965788	154.6365881		37085855393	nan
5600	2966192	101.3076789		14915859505	nan
5700	2966044	120.3487172		17523933721	nan
5800	2969664	115.759151		14948504777	nan
5900	2973116	100.481878		11392934465	nan
6000	2974784	100.0897231		15266112481	nan
6100	2977596	110.9837751		17515521585	nan
6200	2979360	97.87879801		24921596753	nan
6300	2983664	97.12839699		9970302545	nan
6400	2982804	112.4924331		11724951665	nan
6500	2979504	97.32948899		13845258289	nan
6600	2977132	111.3003249		12370731121	nan
6700	2977668	114.498399		24917088105	nan
6800	2980180	113.3520682		12628064881	nan
6900	2987172	99.71921492		11490821337	nan
7000	2988408	115.4074888		12371609177	nan
7100	2987112	96.66014504		11454837153	nan
7200	2993112	114.5919561		21758720945	nan
7300	2995376	94.49249601		12631225825	nan
7400	2994124	50.410218		11803542545	nan
7500	2997988	95.45282316		28255371801	nan
7600	2999948	128.0893741		15691381025	nan
7700	3001780	102.6405141		39889652465	nan
7800	3002920	116.7539821		11587414441	nan
7900	3001472	93.48174691		11609686289	nan
8000	2999724	101.4936972		43253662545	nan
8100	3005920	112.090579		12781674289	nan
8200	3008848	111.412627		13389973705	nan
8300	3014208	95.53247905		12406795009	nan
8400	3013804	109.811039		11383186049	nan
8500	3017368	96.72356701		26212156841	nan
8600	3017396	100.7246599		12203187593	nan
8700	3020192	120.8981409		11834659681	nan
8800	3020384	113.2421379		13623034401	nan
8900	3026732	101.0682962		32473497713	nan
9000	3028180	96.43871307		23335250025	nan
9100	3031432	115.192241		12910588265	nan
9200	3030496	102.4865141		44268627193	nan
9300	3030816	103.77391		12906568809	nan
9400	3034728	99.49801588		10386336073	nan
9500	3036740	111.531702		12924612697	nan
9600	3036540	114.653506		15268180737	nan
9700	3035812	112.8133202		11724662457	nan
9800	3039208	115.368916		22842988497	nan
9900	3041656	101.2463632		14002832857	nan
